"#","Reference","Qty","Value","Footprint","DNP","Digikey PN","URL"
"1","C1, C2, C3, C4, C5, C6, C7, C10, C11, C20, C22, C23, C24, C26, C27, C31","16","0.1u","Capacitor_SMD:C_0402_1005Metric","","1276-1043-1-ND","https://www.digikey.com/en/products/detail/samsung-electro-mechanics/CL05A104KA5NNNC/3886701"
"2","C8, C9, C21, C25, C28, C29, C32","7","2.2u","Capacitor_SMD:C_0402_1005Metric","","445-9028-1-ND","https://www.digikey.com/en/products/detail/tdk-corporation/C1005X5R1V225K050BC/3648550"
"3","C12","1","33n","Capacitor_SMD:C_0402_1005Metric","","",""
"4","C13","1","10n","Capacitor_SMD:C_0402_1005Metric","","",""
"5","C14","1","3.3n","Capacitor_SMD:C_0402_1005Metric","","",""
"6","C15","1","1n","Capacitor_SMD:C_0402_1005Metric","","",""
"7","C16","1","330p","Capacitor_SMD:C_0402_1005Metric","","",""
"8","C17","1","100p","Capacitor_SMD:C_0402_1005Metric","","",""
"9","C18","1","33p","Capacitor_SMD:C_0402_1005Metric","","",""
"10","C19","1","10p","Capacitor_SMD:C_0402_1005Metric","","",""
"11","D65, D66, D67","3","LED","LED_SMD:LED_0603_1608Metric","","APT1608CGCK","https://www.digikey.com/en/products/detail/kingbright/APT1608CGCK/1747514"
"12","J1, J4, J7, J8, J11","5","Conn_01x02_Pin","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","","",""
"13","J2, J3","2","Conn_01x05_Pin","Connector_PinHeader_2.54mm:PinHeader_1x05_P2.54mm_Vertical","","",""
"14","J6","1","Conn_01x40_Pin","Connector_FFC-FPC:Hirose_FH12-40S-0.5SH_1x40-1MP_P0.50mm_Horizontal","","https://www.digikey.com/en/products/detail/hirose-electric-co-ltd/FH12A-40S-0-5SH-55/1110338","https://www.digikey.com/en/products/detail/hirose-electric-co-ltd/FH12A-40S-0-5SH-55/1110338"
"15","J12, J13, J14","3","Conn_01x02_Pin","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","DNP","",""
"16","PS1","1","PDSE1-S3-D24-M","unkey-footprints:CONV_PDSE1-S3-D24-M","","102-PDSE1-S3-D24-M-ND","https://www.digikey.com/en/products/detail/cui-inc/PDSE1-S3-D24-M/20526618"
"17","R1, R79","2","100","Resistor_SMD:R_0402_1005Metric","","",""
"18","R2, R3, R9, R81, R82, R84","6","1k","Resistor_SMD:R_0402_1005Metric","","",""
"19","R4","1","0","Resistor_SMD:R_0402_1005Metric","","",""
"20","R5","1","100M","Resistor_SMD:R_0402_1005Metric","","HMC0402JT100MCT-ND","https://www.digikey.com/en/products/detail/stackpole-electronics-inc/HMC0402JT100M/2683706"
"21","R6, R80","2","500","Resistor_SMD:R_0402_1005Metric","","",""
"22","R10","1","18k","Resistor_SMD:R_0402_1005Metric","","",""
"23","R11, R68","2","10k","Resistor_SMD:R_0402_1005Metric","","",""
